,loudness,acousticness,tempo,energy,danceability
876,-7.979,0.134,91.361,0.5,0.32
877,-6.145,0.237,81.943,0.706,0.754
878,-5.041,0.0279,160.182,0.881,0.572
879,-5.678,0.0156,80.029,0.704,0.544
884,-3.852,0.196,100.012,0.756,0.563
885,-8.061,0.0829,96.02,0.465,0.691
886,-5.889,0.0914,84.983,0.495,0.719
888,-3.527,0.175,126.007,0.91,0.706
889,-3.207,0.207,147.308,0.944,0.654
894,-10.219,0.651,82.465,0.449,0.682
895,-6.643,0.00956,150.027,0.526,0.64
896,-8.575,0.835,75.013,0.199,0.74
897,-5.649,0.0943,94.966,0.663,0.769
898,-16.379,0.932,132.997,0.221,0.456
899,-12.808,0.113,129.96,0.366,0.566
900,-12.599,0.9,102.607,0.122,0.505
903,-9.026,0.571,131.768,0.355,0.757
905,-14.084,0.978,82.642,0.111,0.367
906,-9.295,0.816,129.958,0.453,0.626
907,-11.111,0.812,137.911,0.364,0.561
909,-12.35,0.904,136.063,0.265,0.766
910,-4.833,0.16,101.134,0.783,0.685
912,-6.154,0.0232,114.99,0.495,0.802
915,-7.78,0.282,106.974,0.435,0.783
917,-9.389,0.785,124.148,0.373,0.667
918,-11.178,0.358,109.9,0.488,0.591
920,-7.011,0.163,137.027,0.582,0.665
921,-4.125,0.334,153.95,0.711,0.383
923,-9.198,0.173,155.908,0.435,0.358
929,-4.183,0.0123,127.008,0.883,0.877
932,-5.033,0.578,154.06,0.76,0.683
933,-4.255,0.222,132.078,0.951,0.631
934,-7.676,0.0377,142.926,0.658,0.822
935,-8.819,0.199,140.045,0.613,0.825
936,-5.333,0.193,95.026,0.77,0.625
950,-5.325,0.138,88.018,0.684,0.683
952,-2.685,1.03e-05,91.481,0.934,0.436
953,-2.617,0.0141,129.981,0.955,0.572
954,-5.022,0.245,159.893,0.768,0.669
955,-2.303,0.00198,139.962,0.922,0.564
957,-3.852,0.0545,130.024,0.873,0.687
958,-8.365,0.603,95.995,0.493,0.611
959,-2.427,0.144,122.992,0.94,0.658
960,-7.059,0.0871,98.012,0.538,0.63
964,-14.911,0.0464,159.919,0.484,0.72
969,-8.811,0.000132,154.953,0.934,0.48
979,-11.127,0.0202,120.081,0.652,0.557
986,-11.113,0.372,80.057,0.442,0.365
988,-7.53,0.744,125.922,0.535,0.685
990,-5.287,0.184,127.92,0.707,0.68
993,-4.46,0.00946,99.988,0.756,0.654
997,-4.304,0.0186,78.324,0.678,0.552
998,-2.628,5.82e-06,93.984,0.931,0.428
1000,-6.814,0.426,119.968,0.498,0.694
1001,-5.272,0.0686,147.974,0.857,0.613
1004,-6.883,0.115,119.924,0.738,0.615
1008,-6.02,0.0301,147.589,0.582,0.443
1010,-9.208,0.252,132.971,0.408,0.832
1011,-6.678,0.854,112.867,0.3,0.824
1013,-4.113,0.0133,115.27,0.85,0.585
1016,-9.035,0.00368,92.012,0.482,0.798
1017,-10.193,0.0765,113.256,0.641,0.774
1019,-9.444,0.0951,120.151,0.572,0.505
1020,-5.934,0.00146,171.005,0.73,0.514
1022,-9.286,0.188,147.974,0.805,0.713
1023,-2.337,0.133,89.948,0.793,0.599
1025,-6.694,0.435,89.915,0.529,0.593
1026,-4.547,0.083,75.192,0.896,0.358
1028,-8.644,0.00627,141.972,0.783,0.584
1029,-8.658,0.516,145.824,0.586,0.607
1033,-2.973,0.00168,98.01,0.975,0.507
1034,-7.86,0.15,114.031,0.501,0.64
1035,-8.386,0.524,82.991,0.598,0.56
1036,-11.471,0.259,128.007,0.969,0.822
1041,-8.321,0.033,82.515,0.816,0.558
1042,-7.034,0.454,149.967,0.611,0.746
1043,-7.909,0.207,99.034,0.554,0.774
1045,-5.849,0.00385,139.948,0.861,0.697
1046,-5.433,0.245,125.954,0.6,0.834
1047,-4.507,0.00805,157.462,0.938,0.431
1048,-6.658,0.781,95.177,0.409,0.54
1049,-8.698,0.376,91.942,0.468,0.73
1050,-5.294,0.45,96.915,0.875,0.59
1051,-4.219,0.159,104.032,0.827,0.782
1052,-7.484,0.236,106.994,0.655,0.741
1053,-7.262,0.0617,92.985,0.645,0.552
